Gene	signal_to_noise_ratio
RS1	-0.3126186462544192
IMPDH1	-0.31251570148488333
JARID1A	-0.3124942458291912
DDR1	-0.3124157538240159
213386_at	-0.31223810046155087
TRIM26	-0.3122135518034326
JARID1C	-0.3121792772621887
TAPBPL	-0.31214142215401375
FOXL2	-0.31181235536740853
XPO6	-0.3117620074459413
FLJ22170	-0.3116102993093294
KRTAP1-3	-0.3114434420669091
POLD4	-0.3113872510150655
HSA9761	-0.31124951723865407
VPS24	-0.3111950780848549
SEC15L2	-0.31093172243355227
C6orf79	-0.3103895434713469
ITM2A	-0.3103105707505525
KCNK15	-0.31023328047205156
FLJ14346	-0.3101527232665006
BRD4	-0.309894235194756
TDG	-0.30983369175455083
NTN2L	-0.3097136508173804
GATA2	-0.30950114472025986
PGK2	-0.30940244548764934
GNG13	-0.3093736006475328
213416_at	-0.30924028539900456
ANKH	-0.3091024645842087
222098_s_at	-0.3089971788865359
WAC	-0.30879348836265114
RPL29	-0.3087180021401264
ZNF239	-0.3086908043229729
TSFM	-0.3085267049046682
RPS18	-0.3084732547153658
C7orf28A	-0.30831318883926756
COX6B1	-0.30826816677131946
FLJ20255	-0.3080423530354054
UNC13B	-0.3079818675025978
GPX4	-0.3079706187486605
RPL34	-0.3078906711833266
GNG10	-0.3077679099139102
215849_x_at	-0.3076470217067005
LOC90806	-0.3075931865484549
GLDC	-0.3073156334255582
RPL21	-0.30730067967062696
IMAA	-0.30725255182257394
CDK2AP1	-0.3071453188800445
220961_s_at	-0.30709059850300535
COPS7A	-0.30694075358123407
PRSS16	-0.30693484617255706
DNAJB9	-0.30688320700822
S100G	-0.30666566219894287
ETF1	-0.30654371009623127
HSPC133	-0.306364513968312
ADAMTS13	-0.30625256658466254
APH-1A	-0.30619017720860203
FLJ20850	-0.30577161093113525
KATNB1	-0.30560572526644747
FRMD4A	-0.3055943721172148
ZC3HDC1	-0.30556078133821774
48106_at	-0.30541544115549507
LSM4	-0.3051669599947298
SLC22A5	-0.30492723125495436
CNP	-0.3048695474991504
C16orf33	-0.3047921291860328
ALG5	-0.30475616875384387
CGI-115	-0.30473431296240233
RAB15	-0.30458289530801524
GPR1	-0.30453939914935324
CDIPT	-0.3043526624829516
LOC159110	-0.3043393552320915
204486_at	-0.3043161384590664
207835_at	-0.3042967127721524
SCLY	-0.3042468789230954
FLJ20366	-0.3042392113524489
HLA-DPB1	-0.30420424807410756
DUSP6	-0.3040752856646638
C14orf160	-0.30399188168714825
RNF7	-0.3037269210853442
ADMR	-0.3037146172804016
FLJ20344	-0.30366116839945234
PCYT1A	-0.3035613239628953
CRSP7	-0.3030974542147059
SFRS9	-0.30305624546122756
216536_at	-0.3028509534930361
CCL23	-0.30284261355603337
215966_x_at	-0.302648443873375
GALK1	-0.30250351865060404
C6orf75	-0.30245795224530114
PTPRZ1	-0.30218901976793855
LRRN3	-0.30206324223767994
CRIP1	-0.3016474635713002
SLC4A1AP	-0.3016430955326639
HEY1	-0.3015284456871243
F3	-0.30141735290576266
HIVEP2	-0.3012556255401643
PNPLA4	-0.3012125750317137
201845_s_at	-0.30106218527592343
RBMX2	-0.30101944950687015
GPR75	-0.30083831051822213
RPLP2	-0.30070024049960525
SLC38A1	-0.30068891005398884
TPSAB1 /// TPSB2	-0.3006428130705251
MGC12197	-0.3004888473421475
CGI-121	-0.3004543130833007
LOC93081	-0.30035564377768803
USH2A	-0.30015976604565403
ZNF267	-0.29956828290551324
PHKA2	-0.29947422003546353
NOL8	-0.29943316669809916
CCL4	-0.29940940035510816
C14orf130	-0.2992959035910518
IGSF3	-0.29923212108942737
APG4A	-0.29905807237873816
NCALD	-0.29904386331507166
216150_at	-0.29899653710058216
DCL-1	-0.2987919591546322
ZNF202	-0.2987638263422635
LOC375035	-0.2986635455071238
221105_at	-0.29846268265524994
LCMT1	-0.2983861717683918
AAK1	-0.29821565712468573
PIGC	-0.2982012317484204
PKD2	-0.29812678821064137
CCL16	-0.29801299390602826
LOC133619	-0.29795225495040617
216367_at	-0.29794808047106874
ABCB7	-0.29788543999019096
CSPG2	-0.2977890838861603
TUBB5	-0.297771040453439
PALM	-0.29776331766488784
ISL1	-0.2976268537854038
MMP27	-0.297479266285961
FOLH1	-0.2974727785042865
FLJ13769	-0.29743404583492183
CaMKIINalpha	-0.29736176213899207
